"customer_id","full_name","email","phone","city"
2,"Ayon","ayon2@gmail.com",152759767,"Dhaka"
5,"Samia","samia5@yahoo.com",135920720,"Chattogram"
12,"Lamya","lamya12@gmail.com",172884413,"Rangpur"
14,"Kamal","kamal14@yahoo.com",1104744617,"Chattogram"
15,"Hasib","hasib15@gmail.com",196974177,"Gazipur"
16,"Heba","heba16@gmail.com",145089260,"Dhaka"
17,"Zannat","zannat17@gmail.com",197540949,"Dhaka"
21,"Mahjabin","mahjabin21@yahoo.com",153047634,"Sylhet"
22,"Ehsan","ehsan22@gmail.com",136434902,"Narayanganj"
23,"Tanvir","tanvir23@gmail.com",192211426,"Dhaka"
26,"Riya","riya26@gmail.com",197376098,"Khulna"
36,"Rakib","rakib36@yahoo.com",166842472,"Barishal"
47,"Sumaiya","sumaiya47@gmail.com",163499352,"Rajshahi"
65,"Afrin","afrin65@gmail.com",154398011,"Rangpur"
66,"Rodela","rodela66@outlook.com",179952665,"Gazipur"
84,"Farzana","farzana84@gmail.com",130322819,"Chattogram"
99,"Mahmud","mahmud99@gmail.com",192971133,"Rangpur"
