"customer_id","full_name","email","phone","city","total_revenue"
40,"Siam","siam40@gmail.com",1105680135,"Cumilla",29165
19,"Arif","arif19@outlook.com",166290474,"Rangpur",28142
88,"Akash","akash88@gmail.com",172745275,"Cumilla",27906
52,"Afrin","afrin52@gmail.com",164508835,"Sylhet",26095
96,"Ehsan","ehsan96@gmail.com",138857238,"Barishal",24033
7,"Rumana","rumana7@gmail.com",173762918,"Chattogram",21947
32,"Jahid","jahid32@gmail.com",187023752,"Cumilla",21566
87,"Sakib","sakib87@yahoo.com",147488284,"Rajshahi",20219
68,"Mahjabin","mahjabin68@gmail.com",135850305,"Chattogram",19495
55,"Raihan","raihan55@gmail.com",132336986,"Chattogram",19463
62,"Rumana","rumana62@gmail.com",1108514396,"Narayanganj",19316
20,"Rafi","rafi20@gmail.com",143168415,"Barishal",19112
5,"Samia","samia5@yahoo.com",135920720,"Chattogram",18683
11,"Moumita","moumita11@gmail.com",151102827,"Sylhet",18629
94,"Mim","mim94@gmail.com",149736261,"Rajshahi",18625
21,"Mahjabin","mahjabin21@yahoo.com",153047634,"Sylhet",18416
69,"Sadika","sadika69@gmail.com",152519365,"Khulna",18044
63,"Rafi","rafi63@gmail.com",179083258,"Cumilla",17962
70,"Raisa","raisa70@gmail.com",150749811,"Sylhet",17640
24,"Sabbir","sabbir24@gmail.com",153857722,"Rajshahi",17627
86,"Lamisa","lamisa86@gmail.com",130602376,"Rangpur",17348
46,"Keya","keya46@gmail.com",154870438,"Gazipur",17153
77,"Shahriar","shahriar77@outlook.com",187835422,"Khulna",16964
13,"Samia","samia13@gmail.com",168959948,"Rangpur",16876
14,"Kamal","kamal14@yahoo.com",1104744617,"Chattogram",16844
28,"Shuvo","shuvo28@gmail.com",152307345,"Cumilla",16650
44,"Kamal","kamal44@yahoo.com",156858916,"Sylhet",16603
75,"Abrar","abrar75@gmail.com",177215470,"Sylhet",16349
47,"Sumaiya","sumaiya47@gmail.com",163499352,"Rajshahi",16051
82,"Priya","priya82@gmail.com",173975468,"Sylhet",15839
64,"Mehedi","mehedi64@gmail.com",198342083,"Chattogram",15828
71,"Akash","akash71@gmail.com",197184469,"Narayanganj",15425
91,"Fahim","fahim91@yahoo.com",147934750,"Rajshahi",15135
78,"Mariya","mariya78@gmail.com",190893466,"Chattogram",15073
39,"Samia","samia39@gmail.com",168038898,"Cumilla",14928
10,"Irtaza","irtaza10@outlook.com",165645739,"Gazipur",14911
48,"Rakib","rakib48@outlook.com",182297675,"Gazipur",14738
67,"Sumaiya","sumaiya67@gmail.com",196012455,"Rangpur",14600
51,"Jamal","jamal51@gmail.com",144822773,"Rajshahi",14538
93,"Anika","anika93@gmail.com",154924937,"Narayanganj",14461
90,"Heba","heba90@gmail.com",130970617,"Dhaka",14331
6,"Shithi","shithi6@gmail.com",145609346,"Chattogram",14327
50,"Jamal","jamal50@gmail.com",191667842,"Barishal",14131
29,"Towhid","towhid29@yahoo.com",189340781,"Barishal",14121
95,"Rafi","rafi95@yahoo.com",195783882,"Dhaka",14077
79,"Yasin","yasin79@gmail.com",1109388022,"Barishal",14026
56,"Moumita","moumita56@outlook.com",146671778,"Sylhet",13945
57,"Fahim","fahim57@gmail.com",147968069,"Barishal",13677
76,"Rima","rima76@gmail.com",169594684,"Khulna",13498
37,"Sanjida","sanjida37@gmail.com",193575867,"Khulna",13454
18,"Rima","rima18@gmail.com",137939524,"Barishal",13190
72,"Abdullah","abdullah72@yahoo.com",157941798,"Barishal",13077
49,"Sanjida","sanjida49@gmail.com",132405670,"Cumilla",12940
80,"Ayon","ayon80@gmail.com",133568526,"Gazipur",12555
36,"Rakib","rakib36@yahoo.com",166842472,"Barishal",12170
81,"Kamal","kamal81@outlook.com",134903228,"Cumilla",12160
97,"Mariya","mariya97@gmail.com",134703473,"Barishal",11717
31,"Tasnim","tasnim31@gmail.com",199486138,"Gazipur",11716
9,"Anika","anika9@gmail.com",137023818,"Cumilla",11207
100,"Riana","riana100@yahoo.com",137695701,"Sylhet",10949
27,"Irtaza","irtaza27@outlook.com",164631504,"Narayanganj",10833
34,"Abdullah","abdullah34@gmail.com",149671912,"Khulna",10768
8,"Lamisa","lamisa8@outlook.com",156168574,"Sylhet",10704
4,"Saiful","saiful4@gmail.com",198053269,"Rangpur",10649
65,"Afrin","afrin65@gmail.com",154398011,"Rangpur",10454
26,"Riya","riya26@gmail.com",197376098,"Khulna",10201
61,"Oli","oli61@gmail.com",170126974,"Rajshahi",9700
33,"Taushif","taushif33@gmail.com",156736559,"Rajshahi",9432
1,"Abdullah","abdullah1@gmail.com",167460949,"Chattogram",9387
85,"Siam","siam85@gmail.com",1107056697,"Sylhet",9338
30,"Ehsan","ehsan30@gmail.com",198130671,"Chattogram",9184
99,"Mahmud","mahmud99@gmail.com",192971133,"Rangpur",9184
25,"Sadika","sadika25@gmail.com",1105394917,"Narayanganj",9164
35,"Maliha","maliha35@gmail.com",144212135,"Chattogram",9151
45,"Ehsan","ehsan45@gmail.com",170218888,"Rajshahi",8956
23,"Tanvir","tanvir23@gmail.com",192211426,"Dhaka",8460
3,"Taushif","taushif3@yahoo.com",150001052,"Khulna",8401
83,"Raisa","raisa83@gmail.com",157346586,"Cumilla",8376
58,"Rakib","rakib58@gmail.com",133452464,"Rangpur",8226
66,"Rodela","rodela66@outlook.com",179952665,"Gazipur",8145
92,"Jahid","jahid92@gmail.com",154548597,"Dhaka",7487
41,"Naila","naila41@outlook.com",198003834,"Barishal",7414
17,"Zannat","zannat17@gmail.com",197540949,"Dhaka",7404
2,"Ayon","ayon2@gmail.com",152759767,"Dhaka",7176
38,"Sajeeb","sajeeb38@gmail.com",130841616,"Gazipur",7143
42,"Abrar","abrar42@gmail.com",144159587,"Barishal",6982
53,"Maliha","maliha53@gmail.com",1100815459,"Barishal",6528
43,"Towhid","towhid43@gmail.com",144996728,"Chattogram",6415
16,"Heba","heba16@gmail.com",145089260,"Dhaka",6406
98,"Mehedi","mehedi98@outlook.com",146144717,"Barishal",6358
60,"Raihan","raihan60@yahoo.com",176024089,"Khulna",6277
15,"Hasib","hasib15@gmail.com",196974177,"Gazipur",6235
84,"Farzana","farzana84@gmail.com",130322819,"Chattogram",6015
59,"Taushif","taushif59@gmail.com",152528816,"Rangpur",4648
12,"Lamya","lamya12@gmail.com",172884413,"Rangpur",4634
54,"Jahid","jahid54@gmail.com",151421995,"Rajshahi",4143
89,"Sohag","sohag89@gmail.com",167936675,"Khulna",3913
74,"Rafi","rafi74@gmail.com",187602068,"Dhaka",3564
22,"Ehsan","ehsan22@gmail.com",136434902,"Narayanganj",2559
73,"Masud","masud73@gmail.com",164995693,"Gazipur",927
